ZONE,AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,OPERATING HOURS MON - FRI,SAT,SUN,PUBLIC HOLIDAY,REMARKS
CENTRAL-SOUTH,ALEXANDRA ROAD,SGP000753,ACACIA MEDICAL CLINIC,180 THE INTERLACE DEPOT ROAD #01-07,109684,66840274,66840247,"9.00AM-12.00PM,
6.00PM-9.00PM",9.00AM-12.00PM,CLOSED,CLOSED,
CENTRAL-SOUTH,ALEXANDRA ROAD,SGP000368,TOWN HALL CLINIC (ALEXANDRA),438A ALEXANDRA TECHNOPARK BLOCK A ALEXANDRA ROAD #B1-02,119967,62788088,62728778,"8.30AM-12.00PM
2.00PM-4.15PM",8.30AM-10.15AM,CLOSED,CLOSED,
CENTRAL-EAST,ALJUNIED,SGP000396,YSL ALJUNIED CLINIC & SURGERY PTE LTD,BLK 5 UPPER ALJUNIED LANE #01-42,360005,63430626,63430625,"8.30AM-3.00PM
6.30PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,8.30AM-12.30PM,Closed on Christmas and Chinese New Year's Day
CENTRAL-EAST,ALJUNIED,SGP000301,S T MEDICAL CENTRE,BLK 95 ALJUNIED CRESCENT #01-521,380095,67458119,67458119,"9.00AM-1.00PM,
6.30PM-8.30PM (CLOSED ON TUE & THU NIGHTS)",9.00AM-12.00PM,9.30AM-12.00PM,9.30AM-12.00PM,
CENTRAL-NORTH,ANG MO KIO,SGP000447,EE CLINIC,BLK 128 ANG MO KIO AVENUE 3 #01-1859,560128,64521042,64521042,"8.30AM-12.00PM,
2.00PM-4.30PM,
7.00PM-9.00PM (CLOSED ON WED NIGHT)",8.30AM-12.00PM,9.00AM-12.00PM,CLOSED,
CENTRAL-NORTH,ANG MO KIO,SGP000006,ANG MO KIO MEDICAL CENTRE,BLK 157 ANG MO KIO AVENUE 4 #01-558,560157,64570273,67528637,"8.30AM-12.30PM,
2.30PM-6.00PM,
7.00PM-9.00PM (ONLY ON MON EVENING) FRI: 8.30AM-12.00PM",8.30AM-12.00PM,9.00AM-12.00PM,CLOSED,
CENTRAL-NORTH,ANG MO KIO,SGP000325,TAN-TEOH CLINIC & SURGERY (AMK),BLK 302 ANG MO KIO AVENUE 3 #01-1846,560302,64520818,64525270,"8.30AM-12.00PM,
2.30PM-4.30PM,
7.00PM-9.00PM",9.00AM-12.00PM,9.00AM-12.00PM,CLOSED,
CENTRAL-NORTH,ANG MO KIO,SGP000253,MY FAMILY DOCTOR,BLK 330 ANG MO KIO AVENUE 1 #01-1803,560330,65530100,64578406,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,8.30AM-12.30PM,
CENTRAL-NORTH,ANG MO KIO,SGP000665,HEALTHPATH MEDICAL CLINIC AND SURGERY,BLK 338 ANG MO KIO AVENUE 1 #01-1651,560338,64832556,,"8.30AM-12.30PM,
2.00PM-5.00PM,
6.30PM-9.30PM",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
CENTRAL-NORTH,ANG MO KIO,SGP000508,TNG FAMILY CLINIC,BLK 347 ANG MO KIO AVENUE 3 #01-2126,560347,64541203,64541203,"8.30AM-12.30PM,
2.00PM-4.00PM,
6.00PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
CENTRAL-NORTH,ANG MO KIO,SGP000240,MHC FAMILY CLINIC (AMK),BLK 452 ANG MO KIO AVENUE 10 #01-1789,560452,65534050,64525433,"8.30AM-12.00PM
1.00PM-3.30PM
7.00PM-9.00PM","8.30AM-12.00PM
7.00PM-9.00PM",CLOSED,,
CENTRAL-NORTH,ANG MO KIO,SGP000076,CHUA MEDICO CLINIC LLP,BLK 529 ANG MO KIO AVENUE 10 #01-2323,560529,64562275,64562275,"8.30AM-12.30PM,
2.30PM-4.30PM,
6.30PM-9.00PM (CLOSED ON FRIDAY NIGHT)",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
CENTRAL-NORTH,ANG MO KIO,SGP000671,ATRIO FAMILY CLINIC (AMK) PTE LTD,BLK 532 ANG MO KIO AVENUE 10 #01-2461,560532,64554282,64554280,"8.00AM-2.00PM,
5.30PM-10.30PM",8.00AM-2.00PM,9.00AM-2.00PM,CLOSED,
CENTRAL-NORTH,ANG MO KIO,SGP000505,TAN MEDICARE CLINIC PTE LTD,BLK 629 ANG MO KIO AVENUE 4 #01-986,560629,64544211,64534230,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
CENTRAL-NORTH,ANG MO KIO,SGP000321,SUMMIT MEDICAL CLINIC,BLK 632 ANG MO KIO AVENUE 4 #01-956,560632,64560060,64532143,"8.30AM-12.30PM,
1.30PM-3.30PM",8.30AM-12.30PM,CLOSED,CLOSED,
CENTRAL-NORTH,ANG MO KIO,SGP000575,ONEDOCTORS FAMILY CLINIC (AMK),BLK 710 ANG MO KIO AVENUE 8 #01-2613,560710,65542918,65542718,8.00AM-10.00PM,8.00AM-5.00PM,8.00AM-10.00PM,8.00AM-10.00PM,
CENTRAL-NORTH,ANG MO KIO,SGP000548,FAMILY MEDICARE CLINIC & SURGERY,BLK 721 ANG MO KIO AVENUE 8 #01-2815,560721,64566582,64537065,"8.30AM-12.30PM
2.00PM-4.30PM
7.00PM-8.30PM",8.30AM-12.30PM,CLOSED,CLOSED,
CENTRAL-NORTH,ANG MO KIO,SGP000499,ONG MEDICAL CLINIC,BLK 316B ANG MO KIO STREET 31 #01-10,563316,64523586,64559059,"8.30AM-12.30PM,
2.00PM-4.00PM,
7.00PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,8.30AM-12.30PM,
CENTRAL-NORTH,ANG MO KIO,SGP000345,THE CHUNGKIAW FAMILY PRACTICE PTE LTD,17 ANG MO KIO-THYE HUA KWAN HOSPITAL ANG MO KIO AVENUE 9 #01-06,569766,64551009,64550992,"MON-FRI: 8.45AM- 12.00PM, MON-THURS:
2.00PM-4.00PM",8.45AM-12.00PM,8.45AM-12.00PM,CLOSED,
CENTRAL-NORTH,ANG MO KIO,SGP000676,BEWELL CLINIC,BLK 5012 ANG MO KIO TECHPLACE II ANG MO KIO AVENUE 5 #01-01,569876,65559038,65559048,"8.30AM-12.30PM,
2.00PM-4.30PM (CLOSED ON FRIDAY AFTERNOONS)",CLOSED,CLOSED,CLOSED,
